"Protein Group","Top","Accession","-10LgP","Coverage(%)","Coverage(%) DDA_300Smeg_D_2","Coverage(%) DDA_300Smeg_D_1","Coverage(%) DDA_300Smeg_D_3","#Peptides","Area DDA_300Smeg_D_2","Area DDA_300Smeg_D_1","Area DDA_300Smeg_D_3","#Unique","#Spec DDA_300Smeg_D_2","#Spec DDA_300Smeg_D_1","#Spec DDA_300Smeg_D_3","PTM","Average Mass","Description"
422,true,"A0QZX1|A0QZX1_MYCS2",323.87427,64.93,47.22,50.00,64.58,15,40485.44,42226.387,45808.363,15,16.0,20.0,31.0,"Oxidation (M); Carbamidomethylation",30814.994,"ATP phosphoribosyltransferase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=hisG PE=3 SV=1"
397,false,"L0IZY1|L0IZY1_9MYCO",24.546104,1.15,0.00,1.15,0.00,1,,,,1,,1.0,,"",77911.77,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase OS=Mycobacterium sp. JS623 OX=212767 GN=glgE PE=3 SV=1"
1431,true,"A0A2U9PJQ4|A0A2U9PJQ4_MYCSE",183.6806,19.94,13.50,9.97,19.94,5,15313.189,15303.088,15676.379,5,10.0,9.0,11.0,"Oxidation (M); Carbamidomethylation",32593.06,"DUF2993 domain-containing protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_009840 PE=4 SV=1"
1833,true,"A0R0D6|A0R0D6_MYCS2",180.19894,6.76,4.56,6.76,6.76,3,1114.4456,1196.7556,435.18506,3,3.0,3.0,6.0,"",60081.39,"Conserved hypothetical proline rich protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_4349 PE=4 SV=1"
2026,true,"A0QQZ2|A0QQZ2_MYCS2",196.15097,37.50,37.50,15.48,37.50,3,2244.7314,1071.8569,1812.0753,3,5.0,5.0,8.0,"Oxidation (M)",18158.4,"DUF2505 domain-containing protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_0927 PE=4 SV=1"
206,true,"I7FJR8|I7FJR8_MYCS2",522.1551,73.87,71.92,65.01,73.87,21,189397.64,185191.86,188106.0,21,79.0,75.0,76.0,"Oxidation (M); Carbamidomethylation",48781.305,"cystathionine beta-synthase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=cbs PE=3 SV=1"
2542,true,"A0A2U9PRG2|A0A2U9PRG2_MYCSE",48.29602,8.45,8.45,0.00,0.00,1,395.32263,,,1,2.0,,,"",15452.843,"Polyketide cyclase / dehydrase and lipid transport OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_034190 PE=4 SV=1"
1038,true,"A0A8B4R9R6|A0A8B4R9R6_MYCSM",187.07224,55.77,33.97,41.03,38.46,8,4935.9985,5120.4917,4786.259,5,8.0,10.0,8.0,"Oxidation (M)",16594.438,"Ribosome-binding factor A OS=Mycolicibacterium smegmatis OX=1772 GN=rbfA PE=3 SV=1"
2578,true,"A0A2U9PMY4|A0A2U9PMY4_MYCSE",68.6483,6.09,0.00,6.09,6.09,1,,136.52936,,1,,1.0,1.0,"",21338.209,"Transcriptional regulator, TetR family protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_021390 PE=4 SV=1"
877,true,"A0QV45|A0QV45_MYCS2",257.22818,93.07,70.30,52.48,62.38,9,6393.1436,5624.117,7238.5723,9,6.0,10.0,16.0,"Oxidation (M)",12205.843,"DUF2469 family protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_2443 PE=4 SV=1"
1287,false,"L0IRL0|L0IRL0_9MYCO",97.12623,4.35,4.35,0.00,4.35,1,288.1223,,315.4508,1,1.0,,1.0,"Oxidation (M)",32084.22,"Galactose mutarotase-like enzyme OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_00378 PE=4 SV=1"
