Protein.Group,AccessionID,AreaAvg,AreaSD,AreaRSD,missingAreaCount,method,mass
422,A0QZX1,42840.0633333333,2714.00558170987,6.33520441039622,0,DDA,40476
397,L0IZY1,NA,NA,NA,3,DDA,19491
1431,A0A2U9PJQ4,15430.8853333333,212.663731817001,1.37816934818128,0,DDA,56893
1833,A0R0D6,915.462086666667,417.963217021343,45.6559832579424,0,DDA,65170
2026,A0QQZ2,1709.55453333333,593.120163951626,34.6944278399324,0,DDA,93183
206,I7FJR8,187565.166666667,2154.41914977875,1.14862433577952,0,DDA,51655
2542,A0A2U9PRG2,395.32263,NA,NA,2,DDA,77912
1038,A0A8B4R9R6,4947.58306666667,167.417221563265,3.38381830698719,0,DDA,16978
2578,A0A2U9PMY4,136.52936,NA,NA,2,DDA,19871
877,A0QV45,6418.61096666667,807.528896695482,12.581053765202,0,DDA,20725
1287,L0IRL0,301.78655,19.3241676696566,6.40325676199174,1,DDA,45846
22,A0A2U9PGZ2,90787.2366666667,8883.86089499567,9.78536325278139,0,DDA,71212
2578,A0QUC0,136.52936,NA,NA,2,DDA,45445
1517,I7GBY4,5251.84323333333,1443.47929588254,27.4851938976549,0,DDA,30815
2374,A0R1A9,666.978286666667,339.203588971135,50.8567663673671,0,DDA,76434
716,I7G4K2,147447.213333333,28568.5156638848,19.3754191876791,0,DDA,56257
54,L0J5X3,85799.74,19960.2171239342,23.2637268177435,0,DDA,23018
289,A0A653FHY9,54948.0056666667,1811.91026476102,3.29749959580459,0,DDA,71709
39,A0A2U9PLK8,604012.883333333,26106.5515736153,4.32218455830651,0,DDA,14471
2502,A0A8B4R2I6,NA,NA,NA,3,DDA,16594
2287,A0QTF3,15412.3133333333,2462.26744879843,15.9759758028868,0,DDA,15286
2259,A0A2U9PZD2,1598.00725,439.117341625499,27.4790581598111,1,DDA,48781
972,L0IYR0,4478.032,560.187796142945,12.5096872050701,0,DDA,76781
1974,A0A653FHH8,850.917803333333,397.189635853806,46.6777912388106,0,DDA,14471
1481,I7FXB2,4432.10083333333,3070.77056106569,69.2847630624909,0,DDA,32713
1748,I7FPL7,648.638963333333,470.594943643519,72.5511371110283,0,DDA,23540
2113,A0QZR1,552.929136666667,274.615579305736,49.6656010861095,0,DDA,34353
195,A0A2U9PYM6,30165.1933333333,4264.40889547453,14.1368525251991,0,DDA,96884
542,A0A653FJR0,18052.7513333333,1906.09783215876,10.5584893790636,0,DDA,43968
1438,A0A8B4RAP9,19861.8966666667,501.4941419721,2.52490560387284,0,DDA,77197
1284,A0A2U9PMC5,3154.02722,3059.64153867905,97.0074550808427,1,DDA,50572
2628,A0A653FJI4,148.78658,NA,NA,2,DDA,46432
2823,A0A8B4R7C2,NA,NA,NA,3,DDA,73264
194,A0A8B4QGK8,184437.52,2735.78487070896,1.48331254438303,0,DDA,33635
119,A0A2U9PYX5,145190.416666667,16685.7326634054,11.4923099240862,0,DDA,16293
782,A0QUW5,8346.39096666667,5707.13740869043,68.3785055299143,0,DDA,20836
2550,A0R4C1,744.36935,120.831326007973,16.232711087308,1,DDA,22997
254,A0A2U9PXG8,157735.196666667,18660.5777270167,11.8303194983496,0,DDA,29560
1096,A0A8B4QHD5,1697.22123333333,99.5290109358239,5.86423319370978,0,DDA,17541
1522,A0A2U9PQ47,9936.66,1861.67733494261,18.735443649502,0,DDA,16264
2222,A0R1M9,602.02615,41.4786716523686,6.88984550793492,1,DDA,30775
1098,I7GAX1,10541.134,413.591137137874,3.92359244401859,0,DDA,27961
2484,I7FML6,NA,NA,NA,3,DDA,12206
256,A0R058,24191.8666666667,9040.74407609442,37.3710065480454,0,DDA,42207
1843,A0A2U9PSJ7,522.129506666667,82.3815035595256,15.7779827624488,0,DDA,17560
1635,A0QS43,17218.8236666667,853.476623394182,4.95664883917941,0,DDA,18158
1700,I7GCR8,2467.07156666667,1301.88897391245,52.770620500137,0,DDA,32593
910,A0A2U9PWN4,14502.4116666667,646.122220995636,4.4552743077948,0,DDA,15453
1501,A0A8B4R7F9,1744.37776666667,748.229211070674,42.8937599050271,0,DDA,18089
2761,I7G474,59.426018,NA,NA,2,DDA,14278
1047,A0A653FF66,7090.23333333333,2201.98657026257,31.0566164291147,0,DDA,30175
1476,A0A8B4QG43,7767.43356666667,2365.25892287782,30.4509707431313,0,DDA,49398
2243,A0QXC1,659.569176666667,284.147384405265,43.0807555079045,0,DDA,32084
1923,A0A2U9PME3,3691.97743333333,144.244332904601,3.90696680868844,0,DDA,23544
1592,A0A653FA40,715.372783333333,540.973601388107,75.6212165169885,0,DDA,23824
238,A0A653FBE8,140468.423333333,9313.97014224511,6.63065044885066,0,DDA,31101
1283,A0QRG5,8914.50166666667,380.142687744133,4.26431787169408,0,DDA,33122
2391,A0A653FIR3,1524.96493333333,550.951084228512,36.1287707137121,0,DDA,33551
257,L0IR73,9821.50366666667,518.926606990173,5.28357596353973,0,DDA,28284
2407,A0QQ47,13186.856,NA,NA,2,DDA,86131
810,I7FIX8,17558.1916666667,4921.04726765415,28.0270734086842,0,DDA,17767
1674,A0A653FJC5,1270.3727,NA,NA,2,DDA,11900
1740,A0QU81,1349.86087333333,765.38907285344,56.7013303351327,0,DDA,60081
251,A0QWN3,111849.331666667,7693.82696691044,6.87874201147628,0,DDA,14049
313,A0A653FJU1,56341.9926666667,6804.77663976426,12.0776286348675,0,DDA,53877
2546,A0A653FPI8,NA,NA,NA,3,DDA,48058
495,A0A2U9PL37,274130.49,21196.8591161592,7.73239748564968,0,DDA,33724
1881,L0IVR0,2797.75463333333,271.8584878174,9.71702395122116,0,DDA,23936
426,I7FI10,2358.94376666667,634.120887577253,26.8815601515294,0,DDA,21338
