Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-1_S1-B6_1_6595.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-2_S1-C6_1_6596.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-3_S1-D6_1_6597.d
A0A0D6FU72;A0A2U9PKG2;A0A2U9PN09;A0QT61;I7F9P5;I7FYP5	A0A0D6FU72;A0A2U9PKG2;A0A2U9PN09;A0A8B4R515;A0QT61;A0QZS6;I7F9P5;I7FGF0;I7FYP5	A0A0D6FU72_MYCSM;A0A2U9PKG2_MYCSE;A0A2U9PN09_MYCSE;A0QT61_MYCS2;I7F9P5_MYCS2;I7FYP5_MYCS2	D806_012550;D806_021300;MSMEG_1725;MSMEI_1685;MSMEI_1823;NCTC7017_00312	Transposase	8394.94	8695.08	10005.5
A0A0D6IZ83;A0A2U9PRP7;A0QQE2;A0QT56;I7G936	A0A0D6IZ83;A0A2U9PRP7;A0QQE2;A0QT56;I7G936	A0A0D6IZ83_MYCSM;A0A2U9PRP7_MYCSE;A0QQE2_MYCS2;A0QT56_MYCS2;I7G936_MYCS2	D806_035090;MSMEG_0724;MSMEG_1720;MSMEI_0707;NCTC7017_01360	Transposase IS3/IS911 family protein	10578.1	12851.2	12269.9
A0A0D6J2F6;A0A8B4QJU1;I7FLE7;Q3L894;Q50439	A0A0D6J2F6;A0A8B4QJU1;I7FLE7;Q3L894;Q50439	A0A0D6J2F6_MYCSM;A0A8B4QJU1_MYCSM;I7FLE7_MYCS2;Q3L894_MYCS2;Q50439_MYCSM	tnpR;tnpR_1;tnpR_3	TnpR	151413	155675	150076
A0A2U9PGZ3;A0A8B4QLD1;A0QNE4;I7G127	A0A2U9PGZ3;A0A8B4QLD1;A0QNE4;I7G127	A0A2U9PGZ3_MYCSE;A0A8B4QLD1_MYCSM;A0QNE4_MYCS2;I7G127_MYCS2	D806_000100;MSMEG_0011;MSMEI_0013;viuB_1	FAD-binding 9, siderophore-interacting	3591.59	2520.75	3110.38
A0A2U9PGZ4;A0QND7;I7G2B0;Q50433	Q50433;A0A2U9PGZ4;A0QND7;I7G2B0	A0A2U9PGZ4_MYCSE;A0QND7_MYCS2;I7G2B0_MYCS2;Q50433_MYCSM	D806_000020;MSMEG_0002;MSMEI_0004;gnd	6-phosphogluconate dehydrogenase, decarboxylating	96207.7	103408	99294
A0A2U9PGZ6;A0A653F7R3;A0QNE2;I7G2B3	A0A2U9PGZ6;A0A653F7R3;A0QNE2;I7G2B3	A0A2U9PGZ6_MYCSE;A0A653F7R3_MYCSM;A0QNE2_MYCS2;I7G2B3_MYCS2	BIN_B_00045;D806_000070;MSMEG_0007;MSMEI_0009	DUF3566 domain-containing protein	95978	97757.5	105121
A0A2U9PH07;A0A8B4QL02;A0QNE6;I7G2B7	A0A2U9PH07;A0A8B4QL02;A0QNE6;I7G2B7;Q50377	A0A2U9PH07_MYCSE;A0A8B4QL02_MYCSM;A0QNE6_MYCS2;I7G2B7_MYCS2	D806_000130;MSMEG_0015;MSMEI_0016;yusV_1	Ferric enterobactin transport ATP-binding protein FepC	21283.1	22155	18647.2
A0A2U9PH17;A0A8B4QKN9;A0QNF9;I7FVD9	A0A2U9PH17;A0A8B4QKN9;A0QNF9;I7FVD9	A0A2U9PH17_MYCSE;A0A8B4QKN9_MYCSM;A0QNF9_MYCS2;I7FVD9_MYCS2	D806_000260;MSMEG_0027;MSMEI_0029;NCTC7017_02043	Membrane associated protein	10352.9	11173.6	11392.6
A0A2U9PH18;A0A8B4QKF0;A0QNF8;I7G135	A0A2U9PH18;A0A8B4QKF0;A0QNF8;I7G135	A0A2U9PH18_MYCSE;A0A8B4QKF0_MYCSM;A0QNF8_MYCS2;I7G135_MYCS2	crgA	Cell division protein CrgA	10194.5	7599.44	6890.94
A0A2U9PH19;A0A8B4QKF4;A0QNG0;I7FCA3	A0A2U9PH19;A0A8B4QKF4;A0QNG0;I7FCA3	A0A2U9PH19_MYCSE;A0A8B4QKF4_MYCSM;A0QNG0_MYCS2;I7FCA3_MYCS2	D806_000270;MSMEG_0029;trpG	Anthranilate synthase component 2	217847	209261	201557
